,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
island,-0.00059934787,0.0002904356,0.0051815994,0.0090578,-0.009332108,-0.0071915,0.006504066,0.008977354,-0.005030484,-0.003838893,0.0073514474,-0.001633212,-0.004539283,0.0065065627,-0.0048527443,-0.0018497601,0.0029243524,0.00096959743,-0.008309983,-0.009520915,0.0073631164,0.0051104613,0.006804464,0.0007368913,0.0063252924,-0.0033840148,-0.000998064,0.005697789,-0.007481276,-0.0038594066,-0.0074501303,-0.0008523589,0.009566739,-0.007271048,-0.0023176041,-0.0018954166,0.008084081,-0.005997413,1.2111788e-05,-0.0047904374,-0.009584155,0.004992704,-0.008803445,-0.0044410634,1.6015601e-05,-0.00033704122,-0.007666422,0.009604673,0.005007665,0.0092605455,-0.008152317,0.004468808,-0.004142782,0.00087367295,0.008406928,-0.004435189,0.004592256,-0.0068190577,-0.0035499092,0.009424527,-0.0015627395,0.00030532066,-0.004148557,-0.007739017,-0.0015832642,0.0024380388,-0.0008777583,0.0056013963,-0.0027940753,0.0022814616,0.0054050004,0.008341865,-0.0014336631,-0.009122897,0.00438279,0.00060859945,0.0073973564,-0.0008435014,-0.0026881294,-0.00878743,-0.00088850944,0.0027911193,0.0053796377,0.007155548,-0.0057847644,0.0019399571,0.006049708,-0.0048193685,-0.0030209445,0.006757018,0.0016347906,0.00016328701,0.0034133114,0.00025602817,0.009685416,0.0050786287,-0.008981839,-0.007158201,0.0009156122,0.0064409
saint,-0.008664539,0.0036944365,0.005204977,0.005769475,0.0074554607,-0.0062572295,0.0011410405,0.0060652513,-0.0028658467,-0.0062221847,-0.00041625448,-0.008419523,-0.0055948514,0.0071048513,0.0033628966,0.007276301,0.0068646367,0.007476396,-0.0037851676,-0.00061559066,0.0023709375,-0.0045239707,0.008407527,-0.009891473,0.006738593,0.0029497172,-0.004960853,0.0043633343,-0.0017661855,0.006764746,0.009982105,-0.004329078,-0.000591391,-0.005716251,0.0038546878,0.0028419942,0.0068867053,0.0060658553,0.009560862,0.009197182,0.007874677,-0.007013812,-0.009175493,-0.00040815043,-0.0030614226,0.007855161,0.0059119784,-0.0015282119,0.0015405423,0.001771301,0.007840519,-0.009567736,-0.00021836892,0.0035001542,-0.000902031,0.008426825,0.009004376,0.0065237894,-0.00077801023,0.007722031,-0.008533499,0.003189824,-0.00465706,-0.0051549864,0.0035326777,0.005373513,0.0077789566,-0.0057427324,0.007432953,0.0066891597,-0.003697236,-0.008786984,0.0054577505,0.0065327715,-0.0007964819,-0.006727361,-0.0071073445,-0.0025188795,0.0050701182,-0.0036564097,-0.009345352,0.003806785,0.0048687747,-0.006340174,0.0012235161,-0.002073543,-1.2854289e-05,-0.0098617785,0.0027401727,-0.004774657,0.0011524006,-0.0015710177,0.002170666,-0.0078497315,-0.0026609835,0.0027309433,0.005327569,-0.0024682414,-0.009522464,0.004498377
nan,9.456396e-05,0.0030773198,-0.006812645,-0.0013754654,0.007668581,0.0073464094,-0.0036732971,0.0026427018,-0.00831713,0.006205486,-0.0046373224,-0.0031641065,0.009311357,0.0008733857,0.007490703,-0.0060740625,0.005160507,0.009922823,-0.0084573915,-0.0051356913,-0.007064837,-0.0048626517,-0.0037785638,-0.008536199,0.007955606,-0.004843938,0.008423613,0.0052625705,-0.006550026,0.0039578713,0.0054701497,-0.007426536,-0.0074057197,-0.0024752307,-0.008625725,-0.0015815723,-0.00040343284,0.0032996845,0.0014418805,-0.00088142155,-0.005594058,0.0017303658,-0.0008973718,0.006793691,0.00397359,0.0045294715,0.0014343059,-0.0026998555,-0.0043668128,-0.0010320747,0.0014370275,-0.0026460087,-0.007073783,-0.007805307,-0.009121787,-0.0059351693,-0.0018474245,-0.0043238713,-0.0064606704,-0.0037173224,0.0042891586,-0.0037390434,0.008378175,0.0015339935,-0.0072423196,0.0094337985,0.0076312125,0.005493282,-0.0068488456,0.005822679,0.004009093,0.0051853694,0.0042559016,0.0019397545,-0.0031701624,0.008353845,0.00961218,0.003792603,-0.002836995,7.1275235e-06,0.0012188185,-0.008458325,-0.008223945,-0.00023101569,0.0012372875,-0.0057433806,-0.0047252737,-0.0073460746,0.008328616,0.00012129784,-0.0045093987,0.0057017053,0.009180015,-0.004099872,0.007964682,0.005375434,0.005879123,0.0005125904,0.008213084,-0.0070190406
port,-0.008282601,0.009320169,-0.00018232198,-0.0019577928,0.004595778,-0.004105886,0.002777914,0.0069146594,0.006031805,-0.0075291507,0.009389441,0.0046174196,0.003972639,-0.0062966296,0.00847857,-0.0022078573,0.008843505,-0.0054276185,-0.008139774,0.006804335,0.0017228023,-0.0022025811,0.009568103,0.009545052,-0.009821778,0.002511188,0.006149173,0.0038014867,0.0019852319,0.00039928028,0.0007141558,-0.003832675,-0.0071414467,-0.002110923,0.0039346996,0.008816113,0.0092301145,-0.0060100043,-0.009433984,0.00974119,0.0034194973,0.005194036,0.0062534437,-0.0028195297,0.007348457,0.00279818,0.0028207994,-0.0024080034,-0.0030838428,-0.0023630701,0.00427248,6.72704e-05,-0.009642421,-0.009656942,-0.00622044,-0.0001246149,0.0020254336,0.009421287,0.0055765025,-0.004285162,0.00028680384,0.0049558785,0.007693606,-0.0011559314,0.0042750123,-0.0058316896,-0.00084955,0.008087344,-0.0023633682,-0.009703994,0.0057762247,-0.003887756,-0.0011916279,0.010029569,-0.0022434914,-0.004687479,-0.005338953,0.006991085,-0.005719805,0.002104293,-0.0053024027,0.006100594,0.004351051,0.0026685183,-0.0015454695,-0.0027233055,0.008976975,0.0052689784,-0.002119977,-0.009493901,-0.007418469,-0.0010201989,-0.000795629,-0.0025805116,0.00972307,-0.0004399848,0.005849856,-0.0075158444,-0.002520823,-0.005555338
citi,-0.0072027566,0.001290519,-0.007153089,-0.002262754,0.0037116895,0.0058301524,0.0012380047,0.0020875225,-0.004104038,0.0072477357,-0.006292875,0.004632506,-0.008167725,0.0020482154,-0.0049679554,-0.00425218,-0.003111239,0.005693642,0.0058330214,-0.005018327,0.0007257256,-0.0085303355,0.0078025497,0.009256061,-0.0027395636,0.00081698055,0.00070615753,0.0054883882,-0.008608549,0.0005719015,0.006890167,0.0022797484,0.0011697864,-0.00935516,0.00849602,-0.0062082047,-0.0029836567,0.0035202585,-0.0008357188,0.0014230525,0.0017727569,-0.0068334346,-0.009708013,0.009033092,0.0062721833,-0.0069342493,0.0033687314,0.00022411493,0.00473406,-0.0070940997,0.00403993,0.0043443083,0.009956298,-0.0045153815,-0.001358755,-0.0073511694,-0.009664462,-0.009092118,-0.0010314622,-0.006524274,0.0048619853,-0.0062299557,0.0024940693,0.0007755322,-0.003442242,-0.0010225949,0.010033955,0.00918725,-0.004470952,0.009149647,-0.0056051016,0.0058909226,-0.0030778719,0.0035037398,0.003041533,0.0069075637,-0.0023617563,0.008744476,0.0075700087,-0.009547896,-0.008055456,-0.0076424717,0.0028836806,-0.002777478,-0.0069037783,-0.008152166,0.008330626,0.0019836673,-0.009339354,-0.004801728,0.0031310217,-0.0047346265,0.005307484,-0.0042382046,0.002654702,-0.008033296,0.006193033,0.004802343,0.0008025378,0.0030191059
san,-0.008839076,0.0022034072,-0.00079821923,-0.009331246,-0.009489372,-0.0015052133,0.00445158,0.0037372978,-0.0065327752,-0.0069464594,-0.0050086086,-0.0023381643,-0.007319142,-0.009637086,-0.0027303477,-0.00842198,-0.0060161226,-0.005695317,-0.0023844359,-0.0017685025,-0.008901785,-0.0006824567,0.008159226,0.0076875123,-0.007281095,-0.0036688065,0.0031184147,-0.009613607,0.0014107473,0.006536296,0.005840204,-0.008686815,-0.004642512,-0.008207289,2.941045e-05,0.009350129,0.0059802765,0.0050135013,0.0050278627,-0.0033125782,0.009626818,-0.0074368655,-0.0072562764,-0.002348091,-0.0007623928,-0.0032449788,-0.0005843431,0.0074477447,-0.0006939893,-0.0016203537,0.0028075622,-0.008446748,0.007807445,0.008552129,-0.009750012,0.0025054973,0.009901195,-0.0077234334,-0.006987354,-0.00781193,0.008475005,-0.0006236921,0.00910015,-0.008167348,0.0037399307,0.0026687814,0.0007424898,0.002403492,-0.0075331363,-0.009406023,0.0023194375,0.006141763,0.008033719,0.0058105933,-0.00074780313,0.008426511,-0.009357039,0.0034257695,0.00019724129,0.003920741,0.0074571804,-0.006834556,0.005488437,-0.009413394,-0.0008505499,-0.008638482,-0.0051549505,0.009358357,-0.001831015,0.002922872,0.00913901,0.0089772,-0.008236188,-0.003025113,0.010005987,0.0051976684,-0.0015917163,-0.008753579,0.0029930102,-0.0067000585
south,0.008118676,-0.004435451,-0.001067927,0.0010218181,-0.00021052228,0.0011328142,0.00613979,-1.2736145e-06,-0.0032823852,-0.0015369871,0.005885522,0.0015314678,-0.0007300983,0.009343846,-0.004922481,-0.0008346704,0.009203994,0.006745782,0.0015002943,-0.008899811,0.001165028,-0.0022700336,0.009386005,0.0012408858,0.0014629848,0.002434398,-0.0018643851,-0.005016672,0.00023053985,-0.001999891,0.0066296295,0.008971071,-0.00066138845,0.0029796122,-0.006097899,0.0017047178,-0.006890525,-0.00868324,-0.0059042634,-0.0090018865,0.007285425,-0.0057756407,0.008297751,-0.007268566,0.0034307567,0.009691826,-0.007775381,-0.009960891,-0.0043155733,-0.0026481138,-0.0002601544,-0.008847143,-0.008652413,0.0028049026,-0.008259677,-0.009030023,-0.0023519332,-0.008618266,-0.0070579266,-0.008409321,-0.0002997043,-0.004548004,0.0066239135,0.0015331118,-0.0033474856,0.0061028474,-0.006022511,-0.0046802172,-0.0072210114,-0.0043382533,-0.0017983567,0.0064946325,-0.0027612029,0.004930925,0.0069069257,-0.0074467594,0.0045742504,0.0061335363,-0.002939616,0.006628434,0.0061076763,-0.0064566294,-0.0067991065,0.002556286,-0.0016150385,-0.0060595484,0.009478889,-0.005103208,-0.0065241084,-0.00015279301,-0.0026660669,0.00044301475,-0.003524607,-0.00043055526,-0.0007091572,0.00083315035,0.008194466,-0.005755096,-0.0016494803,0.0055874716
republ,0.008139102,-0.0044050985,0.009077882,0.008287484,-0.004469368,0.00022958768,0.004350345,-0.0038547595,-0.005535318,-0.00655678,-0.00074776914,-0.00036055176,0.0044518956,-0.0025077746,-0.00015324925,0.0024578092,0.0048950166,-6.0289687e-05,-0.0063233892,-0.009339774,4.2641295e-05,0.0067009768,0.0014601663,-0.008970238,-0.00799586,0.0065972344,-0.0037948228,0.0062073465,-0.0067343614,0.008523796,-0.006477145,0.0033198062,-0.0010589191,-0.0068185255,-0.0033647195,-0.0011261792,-0.0054793363,-0.0012471587,-0.0075769755,0.0025560397,0.009126875,-0.0023614443,-0.0009942758,0.0034747217,0.008713361,-0.0059472388,-0.0069375047,-0.0029865059,0.009203046,0.0008833652,-0.008687409,-0.0015313916,0.009427448,-0.0074844,-0.0054168445,0.009390663,-0.008991305,0.0038061016,0.0006264794,0.006656722,0.008331953,-0.0028662353,-0.0040529976,0.008878581,0.0020064893,0.006265662,-0.009481183,0.009623593,-0.0013907724,-0.006071353,0.0029671355,-0.00042969076,0.004716741,-0.0022329069,-0.0041402653,0.0022872286,0.008341662,-0.005035608,0.0026028245,-0.008021325,-0.0067829564,-0.0005140792,-0.008763964,0.0029274533,0.0015719188,-0.0023099578,0.0049760374,0.009848416,0.008492703,-0.0018925396,0.0021127854,-0.0039950707,-0.008287566,0.0063051116,-0.0018907777,-0.00060539437,-0.0018067771,-0.0046342523,0.0040892335,-0.004252026
new,-0.009633364,0.0089776935,0.004212355,0.009261671,0.006614842,0.0029063958,0.0098213805,-0.004410967,-0.006797091,0.0042009293,0.003741052,-0.0057282927,0.00975112,-0.0035627978,0.009572781,0.0008440674,-0.0063464018,-0.0019744432,-0.0073689753,-0.003031517,0.0010708482,0.009504852,0.009372086,-0.0066033253,0.0034718653,0.0022612647,-0.0025049958,-0.009294898,0.0010188266,-0.008192758,0.0063280887,-0.005803422,0.0055876025,0.009813796,-0.000196362,0.0045653754,-0.0018253946,0.0073399334,0.0039094198,-0.009040262,-0.0024075403,0.0036443975,-0.00012498075,-0.0012117279,-0.0010301833,-0.0016833127,0.00061199773,0.0041594706,-0.0042280825,-0.0038196708,-5.839671e-05,0.00026977086,-0.00015160018,-0.004766946,0.004286115,-0.00214864,0.0021101984,0.0006705662,0.005974711,-0.006837145,-0.006806035,-0.004467457,0.009434788,-0.0016010557,-0.0095036635,-0.0005719312,-0.004451737,0.006001688,-0.009601376,0.0028454077,-0.00929063,0.0012569593,0.006027744,0.0073972144,-0.0076446263,-0.006001054,-0.006846659,-0.007941803,-0.00952106,-0.002100752,-0.00085634144,-0.0072725276,0.006787331,0.0011322567,0.0057885097,0.0015292309,0.0008160371,-0.0073541743,-0.0021509337,0.0043296283,-0.0050987406,0.0011253508,0.0028609224,-0.0015023199,0.009952232,0.008375144,0.0023770754,0.0070817186,0.0059422995,-0.005578714
guinea,-0.005179778,-0.0066385185,-0.007781741,0.0083292145,-0.001993737,-0.006852906,-0.004095451,0.0051724943,-0.0029072682,-0.0037147708,0.0015950777,-0.0028163583,-0.0015535917,0.0010810248,-0.0029807303,0.008456542,0.0039377776,-0.009964514,0.006269334,-0.0068167388,0.00083302706,0.0044500795,-0.0050922423,-0.0021406095,0.008086979,-0.0042517274,-0.0076715653,0.00918765,-0.0021333455,-0.0047190194,0.008601574,0.004289155,0.004352174,0.0093191145,-0.008481944,0.0052939034,0.0020327407,0.0041733114,0.0016685681,0.0044086254,0.004494074,0.006081327,-0.0032071513,-0.0045581753,-0.0004284115,0.0025343148,-0.0032627287,0.006017978,0.0041869753,0.007789715,0.002570914,0.008104681,-0.0013762506,0.008071652,0.00367364,-0.008014309,-0.003890475,-0.002456667,0.004909618,-0.0008727872,-0.0028190436,0.007831819,0.009313858,-0.0016109952,-0.0051771854,-0.004723791,-0.004848038,-0.009599165,0.0013369666,-0.00429133,0.0025006162,0.0056353235,-0.004047875,-0.009604426,0.0015484275,-0.0066823745,0.002526072,-0.0037900868,0.0070998743,0.0006548501,0.0035492308,-0.0027185478,-0.0017075489,0.007696797,0.0013556087,-0.0057984665,-0.007831756,0.0012484187,0.0065401667,0.005550444,-0.008946231,0.008620966,0.0040479014,0.0074854055,0.009804206,-0.0072844448,-0.00905126,0.0058244276,0.009435812,0.003510374
