,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
incom,-0.07892714,0.22929178,0.117679946,0.025216931,-0.032984994,-0.31943548,0.1463149,0.27169815,-0.106148295,-0.117646,0.0072211795,-0.2628776,0.02806685,0.06329772,-0.014950785,-0.16772671,0.14164902,-0.14563696,0.018185647,-0.43717062,0.04021339,0.20223036,0.14613199,-0.09382729,-0.10760871,-0.015223895,-0.23983592,-0.11957068,-0.18582702,0.06329119,0.20335013,0.16937777,0.05686233,-0.07446077,-0.12774552,0.23468591,-0.0028178475,-0.19432048,-0.19103798,-0.34319717,0.016941756,-0.09913736,-0.10510283,-0.034461766,0.17373362,-0.09200442,-0.10671416,-0.11535234,0.069606215,0.11110963,0.038537495,-0.22638428,-0.1424599,-0.0021599664,-0.19046332,0.06388598,0.14533953,-0.084103934,-0.21847582,-0.03804797,0.082816705,-0.03717703,-0.042237703,-0.060298756,-0.22102688,0.1122406,0.04477435,0.053299103,-0.2692499,0.22805253,-0.110852815,0.024298644,0.18311647,0.03139865,0.080400616,0.04019319,0.052704122,-0.110152535,-0.21664645,0.16658978,-0.110834345,-0.17117469,-0.14776906,0.27638036,-0.048918087,0.11238142,-0.08264249,0.21656686,0.16243768,0.07608502,0.2133767,0.04219439,-0.020548284,0.11155368,0.34025168,0.17158775,0.008336904,-0.22061111,0.04030904,0.04912878
ida,-0.07812316,0.17074658,0.092745796,0.008715381,-0.0044558314,-0.22772262,0.09940913,0.18745555,-0.07796637,-0.09345252,-0.0054703224,-0.19202763,0.011137813,0.05100523,-0.0104208905,-0.10814153,0.10467355,-0.0876867,0.03540139,-0.3019427,0.0234259,0.12976313,0.10116634,-0.08391067,-0.08274768,-0.0028322835,-0.18630342,-0.08317276,-0.12809798,0.06820095,0.16734794,0.13497646,0.02930139,-0.054780386,-0.08963546,0.17230996,-0.011589353,-0.13016933,-0.12838475,-0.23066883,0.046281952,-0.09627305,-0.0738113,-0.01583888,0.11182564,-0.0647351,-0.0613083,-0.09811334,0.051771097,0.06201401,0.053404957,-0.17877798,-0.0973444,0.00077461964,-0.16479942,0.06475357,0.110312715,-0.035459395,-0.16059874,-0.036255162,0.045643784,-0.026238892,-0.031408194,-0.044893812,-0.15343727,0.09002889,0.0669728,0.027126966,-0.18298171,0.17668632,-0.09363658,-0.014338822,0.14024013,0.05437154,0.05451399,0.02781665,0.026404632,-0.076230645,-0.13995375,0.13272955,-0.094529435,-0.13611595,-0.102044776,0.18586338,-0.02616529,0.07973002,-0.051665064,0.15622549,0.12178494,0.036820557,0.15831807,0.022956436,-0.02154981,0.059473664,0.22806723,0.12358453,0.030630304,-0.16033292,0.025798893,0.033957385
island,-0.09838961,0.27296874,0.105094984,-0.0059801526,-0.021392575,-0.3219025,0.15263963,0.2757811,-0.13778432,-0.10318728,-0.035414953,-0.28394938,0.063186765,0.060346972,-0.009094391,-0.21002458,0.16799755,-0.14288455,0.043276098,-0.47478446,0.012545811,0.21918201,0.1315662,-0.12529352,-0.116789825,-0.01647125,-0.25440544,-0.14258212,-0.21207465,0.07962415,0.23565057,0.20350134,0.025549442,-0.058680683,-0.15656474,0.25899893,-0.03288571,-0.22505769,-0.21587935,-0.37281102,0.018650083,-0.10590099,-0.08777215,-0.032052852,0.19649687,-0.09667361,-0.09254403,-0.16134058,0.055736303,0.092406824,0.062059835,-0.26984763,-0.17049663,-0.027516754,-0.23866051,0.06520138,0.15133066,-0.09000005,-0.2511093,-0.068421416,0.10762694,-0.03582102,-0.034615934,-0.064155295,-0.24602248,0.14363247,0.06896646,0.039778974,-0.3016706,0.25796613,-0.13627979,0.017086376,0.21594565,0.05169282,0.08564774,0.07064758,0.07231905,-0.122049004,-0.24251704,0.22770686,-0.12029542,-0.22724429,-0.19510372,0.31621775,-0.034621567,0.1160759,-0.093761094,0.24660702,0.21093525,0.05389279,0.2370293,0.05907361,-0.014563835,0.12557147,0.36912614,0.19398771,0.042834707,-0.23282082,0.067178614,0.052330356
africa,-0.08850623,0.22440347,0.10443649,-0.0034295763,-0.012598985,-0.28692585,0.12779607,0.24519475,-0.0729599,-0.124083474,0.012640958,-0.22286206,0.030945046,0.040941406,-0.0010809343,-0.15341459,0.13354118,-0.13958728,0.028979886,-0.37370154,0.022116803,0.16708422,0.14241892,-0.07882989,-0.11420109,-0.005212039,-0.20972988,-0.101658896,-0.14976166,0.07322365,0.18882453,0.17066933,0.037084732,-0.065303095,-0.11116161,0.2288425,-0.0100895725,-0.18748097,-0.19189905,-0.2804253,0.041513775,-0.10129104,-0.06840785,-0.028966099,0.16726948,-0.07248987,-0.07935309,-0.12351168,0.055958226,0.07794997,0.063234836,-0.20411381,-0.14181072,-0.01459704,-0.2068198,0.0641245,0.12440182,-0.039298713,-0.19151384,-0.05274514,0.077627376,-0.028862543,-0.019847134,-0.047612105,-0.18867311,0.08989307,0.060230546,0.053428568,-0.246466,0.19633771,-0.09948709,0.0077999136,0.16240184,0.061751924,0.0641173,0.032209,0.03370833,-0.08180478,-0.1942486,0.16787711,-0.10157486,-0.16516556,-0.13708414,0.24586326,-0.03833267,0.10566539,-0.060145546,0.21823749,0.14858617,0.043625683,0.1845694,0.035914443,-0.030395659,0.085780635,0.30604097,0.1477655,0.035933897,-0.2003283,0.042108946,0.022107424
ibrd,-0.07607447,0.16064069,0.074416235,0.0005150084,-0.010629363,-0.19819951,0.09539609,0.17249633,-0.07540763,-0.07266816,-0.018257953,-0.16496257,0.0073029394,0.04592627,-0.022004118,-0.12164035,0.08536858,-0.08197833,0.042257436,-0.28867272,0.016827943,0.114182435,0.09584355,-0.054783374,-0.08809249,-0.0035328364,-0.16951963,-0.07675491,-0.12799431,0.061172932,0.15319325,0.13473329,0.03281456,-0.055405993,-0.07562335,0.14952035,-0.020436807,-0.12282254,-0.12836617,-0.22437914,0.03703298,-0.08315034,-0.07331319,-0.0057747597,0.11453739,-0.07613022,-0.06152727,-0.09452752,0.057941966,0.047178406,0.05146767,-0.1525379,-0.07982613,-0.010395297,-0.15311031,0.04274246,0.08099025,-0.051665157,-0.15363207,-0.047071908,0.057301927,-0.033921685,-0.021485645,-0.030672545,-0.15083994,0.074522436,0.06278754,0.03921106,-0.18587156,0.17086959,-0.09055188,0.0024069506,0.12029355,0.044696305,0.052824296,0.039882008,0.03218842,-0.05788249,-0.12975496,0.11928495,-0.08436307,-0.14381337,-0.10004627,0.1783722,-0.03470598,0.06312588,-0.040890913,0.1581754,0.104873896,0.03646329,0.15012003,0.014880544,-0.015827592,0.05447291,0.22112237,0.099517494,0.031170761,-0.13764718,0.036381237,0.03460312
asia,-0.067941494,0.14644615,0.07357078,-0.011259078,-0.026806444,-0.1916222,0.09191174,0.1722254,-0.07509881,-0.08518946,-0.016389715,-0.16342872,0.0077444324,0.024918094,-0.014988171,-0.1098632,0.07811164,-0.09295411,0.028635733,-0.26384327,0.008118003,0.11417084,0.09388902,-0.053104304,-0.08653689,-0.0059388094,-0.14867765,-0.09205708,-0.10796175,0.0571638,0.14235704,0.10837874,0.021097142,-0.05048085,-0.08030262,0.15547298,-0.008310886,-0.10757127,-0.113438465,-0.21136826,0.042092465,-0.07540124,-0.0674473,-0.019616287,0.101503044,-0.06529195,-0.06803496,-0.07625643,0.046207085,0.053839706,0.04144265,-0.16012079,-0.072966695,0.016865626,-0.14694938,0.042893387,0.09788431,-0.04756669,-0.14222975,-0.05044021,0.057827502,-0.022702703,-0.0069245547,-0.03455139,-0.1356029,0.077537544,0.046502784,0.02908696,-0.17830768,0.12990962,-0.074757434,0.013067862,0.1228034,0.036083564,0.047150906,0.03935939,0.020182492,-0.057365417,-0.123688556,0.11883116,-0.06057046,-0.12760691,-0.09077749,0.15325293,-0.025539441,0.05058717,-0.05795541,0.15558866,0.09768197,0.039733034,0.15120639,0.034443025,-0.030377073,0.0547082,0.22063963,0.10903425,0.020269029,-0.14302315,0.029812688,0.021459041
rep,-0.07509927,0.21813922,0.09995991,-0.010320844,-0.019158784,-0.2976819,0.15612674,0.23554501,-0.114962235,-0.0980899,-0.013247537,-0.24822292,0.036022145,0.06862883,-0.030896207,-0.18149263,0.1360057,-0.13870293,0.06398268,-0.41921234,0.027041564,0.1963352,0.14946707,-0.10205518,-0.097112045,-0.0183434,-0.23586567,-0.13844848,-0.18545544,0.05691902,0.21898383,0.21785462,0.028801162,-0.04814167,-0.14453653,0.22559479,-0.05579102,-0.21280204,-0.19531976,-0.3461176,0.047268044,-0.114855655,-0.060067747,-0.048704635,0.16891941,-0.07807091,-0.10866279,-0.16385862,0.03794436,0.07273592,0.06162384,-0.22612399,-0.16596352,0.0009044751,-0.20798281,0.04891572,0.1346155,-0.088299915,-0.23092781,-0.07777376,0.081247255,-0.051764924,-0.03822206,-0.07149713,-0.20528072,0.120167166,0.044709247,0.0144988885,-0.2537281,0.20905398,-0.1408207,0.023097523,0.18034545,0.053124957,0.10005026,0.022241838,0.06037284,-0.10456313,-0.20697257,0.21680857,-0.094607286,-0.20505632,-0.18146789,0.27500397,-0.030819854,0.10016301,-0.05124716,0.22668959,0.16423462,0.056206618,0.19763501,0.044547256,-0.029857557,0.10132793,0.30749717,0.17862469,0.051495805,-0.21920876,0.054467596,0.04562172
countri,-0.07790433,0.22133397,0.12333007,0.018697452,-0.029599532,-0.29184914,0.13872306,0.23311277,-0.10629552,-0.11854807,-0.011366511,-0.23624466,0.03800113,0.048151184,-0.022725046,-0.15979171,0.13523006,-0.12828597,0.042560786,-0.41077217,0.01972648,0.18707581,0.12210833,-0.10592827,-0.13442218,0.00093020796,-0.24061693,-0.11268241,-0.18040232,0.08978891,0.19060987,0.18985532,0.04155083,-0.07174649,-0.12622684,0.22245218,-0.03606146,-0.17772071,-0.19330812,-0.31388208,0.05733039,-0.10887838,-0.078011654,-0.014697043,0.16262823,-0.10080732,-0.103828914,-0.14288001,0.07817356,0.08684731,0.049766574,-0.22479066,-0.12172361,-0.01458793,-0.21431726,0.08175532,0.1165876,-0.053594783,-0.2096139,-0.0502022,0.08318912,-0.03527042,-0.03913828,-0.046631627,-0.19865078,0.117225006,0.058269117,0.05531841,-0.25748235,0.21031635,-0.11367608,-0.0071322466,0.17375487,0.05043628,0.06636005,0.054581705,0.05697031,-0.10872305,-0.19312383,0.17815046,-0.115207925,-0.18185987,-0.15382132,0.2646453,-0.028586889,0.10282043,-0.07211815,0.2378194,0.16877154,0.056391496,0.20575775,0.02722972,-0.043125365,0.10722824,0.30155724,0.15386133,0.03110622,-0.21130933,0.056989975,0.034297094
middl,-0.06500768,0.1551201,0.069484554,0.017583076,0.0031369906,-0.1849164,0.09789957,0.15407814,-0.071531326,-0.06583697,0.0034328632,-0.16987406,0.030073026,0.02467364,0.006635709,-0.0995285,0.07650759,-0.09153754,0.009707926,-0.25448543,0.018540962,0.13041864,0.09887633,-0.068546526,-0.06552662,-0.0061435783,-0.14410658,-0.087046325,-0.10194799,0.03075425,0.13561107,0.10012798,0.029304005,-0.026132165,-0.076130524,0.14455727,-0.014608906,-0.10133975,-0.11101026,-0.21177827,0.017381344,-0.06084692,-0.05146738,-0.01992308,0.10542822,-0.054903205,-0.05452486,-0.067946054,0.028190343,0.045833066,0.031751756,-0.13610935,-0.083774626,-0.0072715604,-0.12334714,0.03561321,0.08776738,-0.045546245,-0.12314089,-0.045033034,0.044439346,-0.03099589,-0.010799914,-0.031531397,-0.1418695,0.06549252,0.02498384,0.036743045,-0.16698903,0.13796529,-0.08200682,0.011821294,0.11737297,0.041215718,0.036740836,0.016798139,0.014290348,-0.07467601,-0.14164273,0.10346151,-0.06770502,-0.11979421,-0.08256521,0.1594883,-0.022787675,0.06455584,-0.049792703,0.12915017,0.09193144,0.04309147,0.121110715,0.025060084,-0.009614737,0.06583933,0.20838377,0.11414543,0.015888102,-0.11691198,0.032488856,0.015642023
central,-0.06847172,0.12791897,0.06225474,0.012380425,-0.021035276,-0.19962887,0.079536006,0.16191238,-0.07034013,-0.07242542,-0.01255494,-0.15861793,0.017801113,0.040199637,-0.015985798,-0.085134745,0.090345174,-0.099969156,0.045877285,-0.26329958,0.015594273,0.12524873,0.0751602,-0.07333037,-0.06277393,-0.0072841384,-0.16693091,-0.06311332,-0.11753891,0.038047392,0.14902729,0.12830853,0.036847983,-0.021059258,-0.09042253,0.15041012,-0.012980983,-0.11528072,-0.117096364,-0.19274175,0.03635658,-0.05882575,-0.05867491,-0.02110819,0.10298809,-0.053024724,-0.06488216,-0.07610502,0.05140057,0.060371973,0.039829377,-0.13076206,-0.08517262,0.01678033,-0.12564878,0.026706442,0.07854585,-0.043056473,-0.12815759,-0.04191724,0.04704614,-0.016254196,-0.0069178194,-0.03376897,-0.13841777,0.059095487,0.03441741,0.010830087,-0.16052704,0.13511626,-0.07253443,0.013497081,0.1073128,0.013072386,0.04953338,0.022267222,0.032540288,-0.07230873,-0.113146864,0.12123414,-0.06007145,-0.12000367,-0.09826117,0.1777992,-0.02858855,0.055527408,-0.06654742,0.14314465,0.11290825,0.04575542,0.12374571,0.03385912,-0.013081901,0.06071812,0.2189622,0.096481696,0.010494759,-0.12326172,0.044577748,0.030708438
